,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,51.51,48.68,18.25,17.17,5.62,6.07,1.9,2.41,0.72,1.12,0.35,0.56,0.16,0.3,0.11,0.18,0.06,0.11,0.04,0.06,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,52.17,47.89,25.63,23.27,11.0,10.86,4.74,5.4,2.2,2.86,1.19,1.65,0.63,0.96,0.38,0.64,0.23,0.43,0.16,0.27,0.13,0.19,0.09,0.14,0.07,0.11,0.05,0.08,0.03,0.06,0.03,0.04,0.02,0.04,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,52.1,47.94,29.64,26.41,15.17,13.87,7.49,7.57,3.85,4.42,2.1,2.75,1.26,1.79,0.72,1.17,0.46,0.82,0.34,0.59,0.23,0.41,0.18,0.29,0.13,0.19,0.1,0.12,0.08,0.1,0.07,0.08,0.06,0.07,0.05,0.06,0.04,0.05,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,51.9,48.12,32.05,29.05,17.96,16.32,9.84,9.51,5.34,5.79,3.07,3.69,1.85,2.44,1.14,1.67,0.78,1.16,0.53,0.86,0.36,0.64,0.27,0.47,0.2,0.36,0.16,0.27,0.12,0.22,0.1,0.18,0.08,0.15,0.06,0.11,0.05,0.09,0.04,0.08,0.03,0.06,0.03,0.05,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0
5m TTC,51.83,48.19,33.97,30.68,20.53,18.48,11.83,11.26,6.85,7.2,4.09,4.67,2.51,3.11,1.61,2.23,1.03,1.61,0.75,1.21,0.54,0.93,0.39,0.71,0.29,0.56,0.22,0.42,0.17,0.34,0.14,0.27,0.12,0.22,0.09,0.17,0.08,0.15,0.07,0.12,0.06,0.11,0.05,0.09,0.04,0.08,0.04,0.07,0.03,0.06,0.02,0.05,0.02,0.05,0.02,0.04,0.01,0.04,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6m TTC,52.23,47.79,35.6,31.82,22.54,20.05,13.66,12.85,8.19,8.26,5.09,5.58,3.21,3.83,2.09,2.76,1.38,2.04,0.99,1.52,0.7,1.17,0.52,0.89,0.4,0.72,0.31,0.56,0.24,0.45,0.2,0.37,0.18,0.31,0.14,0.24,0.12,0.2,0.09,0.17,0.07,0.14,0.06,0.11,0.06,0.1,0.04,0.08,0.04,0.07,0.04,0.06,0.03,0.06,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01
7m TTC,52.53,47.49,37.0,32.73,24.31,21.53,15.39,14.11,9.64,9.37,6.23,6.47,4.09,4.53,2.69,3.27,1.79,2.43,1.3,1.83,0.91,1.37,0.67,1.08,0.5,0.85,0.38,0.7,0.3,0.57,0.26,0.47,0.22,0.38,0.19,0.31,0.15,0.26,0.13,0.22,0.11,0.18,0.1,0.15,0.09,0.13,0.07,0.11,0.06,0.09,0.05,0.08,0.05,0.07,0.04,0.06,0.04,0.06,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01
8m TTC,52.5,47.52,37.78,33.52,25.74,22.71,16.62,15.33,10.74,10.44,7.05,7.29,4.72,5.2,3.19,3.79,2.21,2.9,1.57,2.21,1.14,1.71,0.83,1.32,0.6,1.07,0.45,0.86,0.37,0.71,0.29,0.58,0.23,0.46,0.2,0.4,0.17,0.32,0.15,0.26,0.12,0.21,0.1,0.17,0.09,0.15,0.08,0.13,0.07,0.11,0.07,0.09,0.06,0.08,0.05,0.06,0.04,0.06,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01
9m TTC,52.53,47.48,38.46,34.11,27.02,23.71,17.89,16.09,11.93,11.22,7.97,7.98,5.3,5.83,3.64,4.31,2.56,3.21,1.88,2.47,1.38,1.96,1.04,1.53,0.79,1.21,0.6,0.98,0.47,0.8,0.36,0.68,0.28,0.56,0.23,0.47,0.2,0.38,0.17,0.31,0.14,0.27,0.13,0.22,0.11,0.17,0.09,0.14,0.08,0.12,0.07,0.1,0.06,0.09,0.05,0.08,0.04,0.06,0.04,0.06,0.04,0.05,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
10m TTC,52.28,47.73,39.07,35.01,27.92,24.6,19.23,17.09,13.1,12.11,8.8,8.72,5.98,6.43,4.25,4.81,3.03,3.63,2.17,2.81,1.63,2.19,1.2,1.72,0.93,1.42,0.71,1.13,0.57,0.94,0.46,0.76,0.37,0.65,0.3,0.56,0.25,0.46,0.2,0.37,0.17,0.31,0.15,0.25,0.12,0.21,0.11,0.18,0.09,0.15,0.09,0.13,0.07,0.11,0.07,0.1,0.06,0.09,0.05,0.08,0.05,0.07,0.04,0.06,0.04,0.06,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02
11m TTC,52.39,47.62,39.65,35.68,28.74,25.31,20.18,17.87,13.84,12.8,9.48,9.37,6.65,6.91,4.72,5.2,3.43,4.0,2.52,3.1,1.89,2.44,1.45,1.99,1.12,1.62,0.86,1.29,0.66,1.05,0.52,0.88,0.43,0.75,0.34,0.62,0.3,0.5,0.25,0.43,0.21,0.35,0.17,0.3,0.14,0.26,0.13,0.21,0.11,0.18,0.1,0.15,0.09,0.13,0.08,0.12,0.07,0.1,0.06,0.09,0.05,0.08,0.05,0.07,0.05,0.07,0.05,0.06,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.03
12m TTC,52.25,47.77,40.31,35.79,29.79,26.09,21.46,18.76,14.88,13.62,10.3,9.95,7.26,7.32,5.19,5.57,3.76,4.3,2.85,3.4,2.2,2.69,1.68,2.19,1.29,1.81,1.03,1.49,0.76,1.21,0.61,1.02,0.49,0.85,0.4,0.73,0.34,0.6,0.3,0.53,0.26,0.46,0.22,0.35,0.18,0.29,0.16,0.26,0.15,0.22,0.13,0.19,0.11,0.17,0.1,0.15,0.09,0.13,0.08,0.11,0.07,0.1,0.06,0.09,0.06,0.07,0.05,0.07,0.04,0.06,0.04,0.05,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.04
13m TTC,52.38,47.63,41.12,36.21,30.64,26.76,22.36,19.5,15.67,14.15,10.97,10.55,7.81,7.85,5.71,6.02,4.17,4.62,3.15,3.66,2.37,2.9,1.81,2.37,1.42,1.92,1.14,1.59,0.91,1.31,0.74,1.08,0.61,0.92,0.49,0.8,0.4,0.67,0.33,0.56,0.28,0.47,0.25,0.4,0.21,0.36,0.18,0.3,0.16,0.24,0.15,0.22,0.12,0.18,0.1,0.17,0.09,0.15,0.08,0.13,0.07,0.12,0.07,0.11,0.06,0.1,0.06,0.08,0.04,0.06,0.04,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.03
14m TTC,52.54,47.47,41.55,36.63,31.3,27.42,23.02,20.2,16.37,14.85,11.68,11.05,8.36,8.43,6.13,6.43,4.53,5.02,3.46,4.02,2.64,3.18,2.05,2.59,1.63,2.16,1.32,1.81,1.07,1.49,0.87,1.26,0.71,1.07,0.57,0.89,0.48,0.78,0.41,0.67,0.34,0.56,0.29,0.47,0.26,0.41,0.22,0.34,0.2,0.3,0.16,0.25,0.14,0.22,0.13,0.19,0.11,0.16,0.1,0.14,0.08,0.12,0.07,0.1,0.06,0.09,0.06,0.08,0.05,0.07,0.04,0.06,0.04,0.06,0.03,0.05,0.03,0.05,0.03,0.05
15m TTC,52.52,47.49,41.67,37.06,31.99,28.02,23.66,20.87,17.09,15.41,12.32,11.69,8.93,8.85,6.57,6.87,4.91,5.45,3.73,4.37,2.89,3.45,2.32,2.8,1.85,2.29,1.44,1.91,1.18,1.63,0.98,1.36,0.81,1.14,0.67,0.99,0.56,0.86,0.47,0.74,0.39,0.63,0.32,0.53,0.29,0.45,0.24,0.38,0.22,0.33,0.18,0.28,0.15,0.24,0.12,0.2,0.11,0.18,0.1,0.16,0.09,0.15,0.08,0.13,0.07,0.12,0.06,0.1,0.05,0.07,0.04,0.06,0.04,0.06,0.04,0.05,0.04,0.05,0.03,0.04
16m TTC,52.7,47.31,42.2,37.39,32.38,28.6,24.29,21.41,17.73,16.04,12.86,12.16,9.52,9.35,7.09,7.21,5.32,5.78,4.05,4.63,3.15,3.72,2.5,3.05,1.97,2.52,1.56,2.08,1.31,1.73,1.1,1.46,0.9,1.25,0.78,1.09,0.64,0.93,0.54,0.81,0.44,0.69,0.38,0.57,0.31,0.49,0.28,0.43,0.24,0.37,0.2,0.32,0.17,0.28,0.14,0.24,0.13,0.21,0.11,0.19,0.1,0.17,0.09,0.15,0.08,0.14,0.07,0.12,0.07,0.1,0.06,0.08,0.05,0.07,0.05,0.06,0.04,0.06,0.04,0.06
17m TTC,52.69,47.32,42.7,37.69,32.97,29.08,24.9,22.11,18.43,16.64,13.45,12.74,9.95,9.82,7.5,7.72,5.71,6.18,4.36,4.94,3.38,4.01,2.62,3.28,2.15,2.72,1.74,2.27,1.46,1.91,1.23,1.61,1.04,1.37,0.85,1.15,0.72,1.0,0.6,0.9,0.5,0.79,0.43,0.66,0.36,0.57,0.3,0.5,0.27,0.42,0.23,0.37,0.19,0.33,0.17,0.29,0.14,0.25,0.13,0.22,0.11,0.19,0.09,0.17,0.09,0.16,0.09,0.14,0.07,0.11,0.07,0.1,0.06,0.09,0.06,0.08,0.05,0.07,0.04,0.07
